"word","description","progress"
"大学","post-secondary education institution, incl. university, college, etc.","Seasoned"
"カフェ","café, coffeehouse","Seasoned"
"うん","yes, yeah","Seasoned"
"はい","yes, that is correct","Seasoned"
"緑","green","Seasoned"
"大嫌い","detestable, abhorrent, loathsome","Seasoned"
"嫌い","dislike, hate","Seasoned"
"冷蔵庫","refrigerator","Seasoned"
"花","flower, blossom, bloom, petal","Seasoned"
"コンピューター","computer","Seasoned"
"鉛筆","pencil","Seasoned"
"甘い","sweet-tasting, sweet, sugary, sugared","Seasoned"
"タクシー","taxi","Seasoned"
"新幹線","Shinkansen, bullet train","Seasoned"
"飛行機","aeroplane, airplane, aircraft","Seasoned"
"一月","January","Seasoned"
"歌う","to sing","Seasoned"
"カラオケ","karaoke","Seasoned"
"お菓子","confections, sweets, candy","Seasoned"
"アメリカ","America","Seasoned"
"靴","shoes, boots, footwear, footgear","Seasoned"
"始まる","to begin, to start, to commence","Seasoned"
"買い物","shopping, purchased goods","Seasoned"
"風","wind, breeze, draught, draft","Seasoned"
"シャワーを浴びる","to take a shower","Seasoned"
"豚肉","pork","Seasoned"
"野菜","vegetable","Seasoned"
"意味","meaning, significance","Seasoned"
"バス停","bus stop","Seasoned"
"警察","police","Seasoned"
"男の人","man","Seasoned"
"音楽","music, musical movement","Seasoned"
"漫画","cartoon, comic, comic strip","Seasoned"
"私","I, me","Expert"
"本","book, volume, script","Expert"
"猫","cat","Expert"
"学生","student (esp. a university student)","Expert"
"綺麗","pretty, lovely, beautiful, fair, clean","Expert"
"海","sea, ocean, waters","Expert"
"映画","movie, film","Expert"
"好き","liking, fondness, love","Expert"
"家","house, residence, dwelling, family","Expert"
"水","water (esp. cool, fresh water, e.g. drinking water)","Expert"
"同じ","same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike","Expert"
"質問","question, inquiry, enquiry","Expert"
"あなた","you","Expert"
"ペン","pen","Expert"
"友達","friend, companion","Expert"
"暑い","hot (weather, etc.), warm","Expert"
"大丈夫","safe, all right, alright, OK, okay, sure","Expert"
"危険","danger, peril, hazard","Expert"
"大好き","loveable, very likeable, like very much","Expert"
"風邪","common cold, cold, influenza, flu, ague","Expert"
"お母さん","mother","Expert"
"犬","dog (Canis (lupus) familiaris)","Expert"
"レストラン","restaurant (esp. Western-style)","Expert"
"金曜日","Friday","Expert"
"日本人","Japanese person, Japanese people","Expert"
"先生","teacher, master, doctor","Expert"
"カレンダー","calendar","Expert"
"忙しい","busy, hectic, occupied, engaged","Expert"
"明日","tomorrow","Expert"
"月曜日","Monday","Expert"
"汚い","dirty, filthy, foul, unclean","Expert"
"公園","(public) park","Expert"
"広い","spacious, vast, wide","Expert"
"彼","he, him","Expert"
"さん","Mr., Mrs., Miss, Ms., -san","Expert"
"有名","famous","Expert"
"彼女","she, her","Expert"
"可愛い","cute, adorable, charming, lovely, pretty","Expert"
"元気","lively, full of spirit, energetic, vigorous, vital, spirited","Expert"
"ノート","notebook, copy-book, exercise book","Expert"
"服","clothes (esp. Western clothes)","Expert"
"古い","old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article","Expert"
"火曜日","Tuesday","Expert"
"雨","rain","Expert"
"晩","evening, night","Expert"
"パン","bread, pastries (e.g. croissants), pastry-based products","Expert"
"これ","this, this one","Expert"
"寿司","sushi, anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)","Expert"
"何","what","Expert"
"丸い","round, circular, spherical","Expert"
"便利","convenient, handy, useful","Expert"
"お風呂","bath","Expert"
"それ","that, it","Expert"
"エアコン","air con, air conditioner, air conditioning","Expert"
"ケーキ","cake","Expert"
"カメラ","camera","Expert"
"帽子","hat, cap","Expert"
"コンビニ","convenience store","Expert"
"ホテル","hotel","Expert"
"電車","train, electric train","Expert"
"兄","elder brother, older brother","Expert"
"手紙","letter","Expert"
"車","car, automobile, vehicle","Expert"
"朝","morning","Expert"
"お金","money","Expert"
"新しい","new, novel, fresh, recent, latest, up-to-date, modern","Expert"
"傘","umbrella, parasol","Expert"
"名前","name, full name","Expert"
"生徒","pupil, student","Expert"
"お父さん","father, dad, papa, pa, pop, daddy, dada","Expert"
"今日","today, this day","Expert"
"夜","evening, night","Expert"
"部屋","room, apartment, flat, pad, chamber","Expert"
"ホーム","platform","Expert"
"いい","good, excellent, fine, nice, pleasant, agreeable","Expert"
"人","-ian (e.g. Italian), -ite (e.g. Tokyoite)","Expert"
"昨日","yesterday","Expert"
"テスト","test","Expert"
"寒い","cold (e.g. weather)","Expert"
"高い","high, tall","Expert"
"女の子","girl, daughter","Expert"
"面白い","interesting, fascinating, intriguing, enthralling","Expert"
"ゲーム","game","Expert"
"近い","near, close, short (distance)","Expert"
"大きい","big, large, great, loud","Expert"
"姉","older sister, elder sister","Expert"
"美味しい","delicious, tasty, sweet","Expert"
"その","that, the","Expert"
"アパート","apartment building, apartment block, apartment house","Expert"
"今週","this week","Expert"
"仕事","work, job, business, occupation, employment, vocation, task","Expert"
"多い","many, numerous","Expert"
"この","this","Expert"
"安い","cheap, inexpensive","Expert"
"サッカー","soccer","Expert"
"長い","long (distance)","Expert"
"暖かい","warm, mild, genial","Expert"
"怖い","scary, frightening, eerie, dreadful","Expert"
"遠い","far, distant","Expert"
"難しい","difficult, hard, troublesome, complicated, serious (disease, problem, etc.)","Expert"
"とても","very, awfully, exceedingly, really","Expert"
"鞄","bag, satchel, briefcase, basket","Expert"
"絵","picture, drawing, painting, sketch","Expert"
"女の人","woman","Expert"
"静か","quiet, silent","Expert"
"大切","important, necessary, indispensable","Expert"
"今","now, the present time, just now, soon, immediately, (one) more","Expert"
"お茶","tea (usu. green)","Expert"
"カレー","curry","Expert"
"辛い","spicy, hot, salty","Expert"
"木","tree, shrub, bush","Expert"
"川","river, stream","Expert"
"細い","thin, slender, fine","Expert"
"欲しい","wanted, wished for, in need of, desired","Expert"
"赤","red, crimson, scarlet","Expert"
"早い","fast, quick, hasty, brisk","Expert"
"背が高い","tall (of a person)","Expert"
"バス","bus","Expert"
"練習","practice, training, drill, (an) exercise, workout","Expert"
"そうです","that is so, that is right, it looks to me, that's my impression","Expert"
"水曜日","Wednesday","Expert"
"自転車","bicycle","Expert"
"見る","to see, to look, to watch, to view, to observe","Expert"
"寝る","to lie down, to sleep","Expert"
"覚える","to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember","Expert"
"食べる","to eat","Expert"
"座る","to sit, to squat","Expert"
"飲む","to drink, to gulp, to swallow, to take (medicine)","Expert"
"飛ぶ","to fly, to soar","Expert"
"行く","to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach","Expert"
"話す","to talk, to speak, to converse, to chat","Expert"
"死ぬ","to die, to pass away","Expert"
"帰る","to return, to come home, to go home, to go back","Expert"
"漢字","Chinese characters, kanji","Expert"
"テレビ","television, TV","Expert"
"ドア","door (Western-style)","Expert"
"鶏肉","chicken meat","Expert"
"ニュース","news","Expert"
"ここ","here, this place","Expert"
"パソコン","personal computer","Expert"
"妹","younger sister","Expert"
"ジュース","juice","Expert"
"初めて","for the first time","Expert"
"右","right, right hand side","Expert"
"紙","paper","Expert"
